name,annotations,codepoints,emoji,synonyms
droplet,"cold, comic, drop, sweat",[128167],💧,"drop, cold, sweat, drip"
water wave,"ocean, water, wave",[127754],🌊,"ocean, water, wave"
jack-o-lantern,"celebration, halloween, jack, lantern",[127875],🎃,"halloween, lantern"
christmas tree,"celebration, christmas, tree",[127876],🎄,"christmas, tree, christmas tree"
fireworks,celebration,[127878],🎆,"fireworks, celebration"
sparkler,"celebration, fireworks, sparkle",[127879],🎇,"celebration, fireworks, sparkler"
sparkles,"sparkle, star",[10024],✨,"sparkle, star"
balloon,celebration,[127880],🎈,"balloon, celebration"
party popper,"celebration, party, popper, tada",[127881],🎉,"celebration, party, popper, tada"
confetti ball,"ball, celebration, confetti",[127882],🎊,"party, celebration, confetti"
tanabata tree,"banner, celebration, japanese, tree",[127883],🎋,tanabata tree
pine decoration,"bamboo, celebration, japanese, pine",[127885],🎍,pine decoration
japanese dolls,"celebration, doll, festival, japanese",[127886],🎎,"doll, japanese, japan"
carp streamer,"carp, celebration, streamer",[127887],🎏,"celebration, streamer, carp streamer"
wind chime,"bell, celebration, chime, wind",[127888],🎐,"wind chime, chime"
moon viewing ceremony,"celebration, ceremony, moon",[127889],🎑,moon viewing ceremony
ribbon,celebration,[127872],🎀,"ribbon, gift"
wrapped gift,"box, celebration, gift, present, wrapped",[127873],🎁,"gift, present, birthday, present"
reminder ribbon,"celebration, reminder, ribbon",[127895],🎗,reminder ribbon
admission tickets,"admission, ticket",[127903],🎟,"ticket, admission"
ticket,admission,[127915],🎫,"ticket, admission"
military medal,"celebration, medal, military",[127894],🎖,"medal, military"
trophy,prize,[127942],🏆,"trophy, prize"
sports medal,medal,[127941],🏅,medal
1st place medal,"first, gold, medal",[129351],🥇,"first, gold, medal"
2nd place medal,"medal, second, silver",[129352],🥈,"medal, second, silver"
3rd place medal,"bronze, medal, third",[129353],🥉,"bronze, medal, third"
soccer ball,"ball, football, soccer",[9917],⚽,"ball, football, soccer"
baseball,ball,[9918],⚾,"ball, baseball"
basketball,"ball, hoop",[127936],🏀,"ball, basketball"
volleyball,"ball, game",[127952],🏐,"ball, volleyball"
american football,"american, ball, football",[127944],🏈,"ball, american football, football"
rugby football,"ball, football, rugby",[127945],🏉,"ball, football, rugby"
tennis,"ball, racquet",[127934],🎾,"tennis, ball"
pool 8 ball,"8, 8 ball, ball, billiard, eight, game",[127921],🎱,"pool, 8 ball, eight ball, eight"
bowling,"ball, game",[127923],🎳,"ball, bowling ball, bowling"
cricket,"ball, bat, game",[127951],🏏,cricket
field hockey,"ball, field, game, hockey, stick",[127953],🏑,"field hockey, hockey"
ice hockey,"game, hockey, ice, puck, stick",[127954],🏒,"ice hockey, hockey"
ping pong,"ball, bat, game, paddle, ping pong, table tennis",[127955],🏓,"ping pong, table tennis"
badminton,"birdie, game, racquet, shuttlecock",[127992],🏸,badminton
boxing glove,"boxing, glove",[129354],🥊,"boxing glove, boxing"
martial arts uniform,"judo, karate, martial arts, taekwondo, uniform",[129355],🥋,"martial arts uniform, judo, karate, martial arts, taekwondo"
goal net,"goal, net",[129349],🥅,"goal net, goal"
direct hit,"bull, bullseye, dart, eye, game, hit, target",[127919],🎯,"direct hit, bull, bullseye, dart, hit, target"
flag in hole,"golf, hole",[9971],⛳,golf
ice skate,"ice, skate",[9976],⛸,"ice skate, skating"
fishing pole,"fish, pole",[127907],🎣,"fishing pole, fishing"
running shirt,"athletics, running, sash, shirt",[127933],🎽,"running shirt, shirt"
skis,"ski, snow",[127935],🎿,skis
video game,"controller, game",[127918],🎮,"video game, videogame, controller"
joystick,"game, video game",[128377],🕹,"joystick, video game, videogame"
game die,"dice, die, game",[127922],🎲,"dice, die, gamble"
spade suit,"card, game",[9824],♠,spade
heart suit,"card, game",[9829],♥,heart
diamond suit,"card, game",[9830],♦,diamond
club suit,"card, game",[9827],♣,club
joker,"card, game, wildcard",[127183],🃏,"joker, wildcard"
mahjong red dragon,"game, mahjong, red",[126980],🀄,"mahjong red dragon, mahjong"
flower playing cards,"card, flower, game, japanese, playing",[127924],🎴,flower playing cards
muted speaker,"mute, quiet, silent, speaker",[128263],🔇,"muted, silence, quiet"
speaker low volume,soft,[128264],🔈,speaker
speaker medium volume,medium,[128265],🔉,speaker
speaker high volume,loud,[128266],🔊,"loud, speaker"
loudspeaker,"loud, public address",[128226],📢,"loudspeaker, megaphone, speaker"
megaphone,cheering,[128227],📣,"megaphone, cheer, cheering"
postal horn,"horn, post, postal",[128239],📯,"postal horn, horn, post"
bell,bell,[128276],🔔,bell
bell with slash,"bell, forbidden, mute, no, not, prohibited, quiet, silent",[128277],🔕,"mute, quiet, silent"
musical score,"music, score",[127932],🎼,"music, score"
musical note,"music, note",[127925],🎵,"music, note"
musical notes,"music, note, notes",[127926],🎶,"music, note, notes"
studio microphone,"mic, microphone, music, studio",[127897],🎙,"mic, microphone, music, studio"
level slider,"level, music, slider",[127898],🎚,"level, music, slider"
control knobs,"control, knobs, music",[127899],🎛,"control, knobs, music"
microphone,"karaoke, mic",[127908],🎤,"karaoke, mic"
headphone,earbud,[127911],🎧,"earbud, headphone, earphone"
radio,video,[128251],📻,radio
saxophone,"instrument, music, sax",[127927],🎷,"saxophone, sax, instrument, music"
guitar,"instrument, music",[127928],🎸,"guider, instrument, music"
musical keyboard,"instrument, keyboard, music, piano",[127929],🎹,"piano, keyboard, instrument, music"
trumpet,"instrument, music",[127930],🎺,"trumpet, instrument, music"
violin,"instrument, music",[127931],🎻,"violin, instrument, music"
drum,"drum, drumsticks, music",[129345],🥁,"drum, drumsticks, music"
mobile phone,"cell, mobile, phone, telephone",[128241],📱,"mobile phone, cell, cellphone, mobile, iphone, telephone, phone"
mobile phone with arrow,"arrow, call, cell, mobile, phone, receive, telephone",[128242],📲,"mobile phone, cell, cellphone, mobile, iphone, telephone, phone"
telephone,phone,[9742],☎,"phone, old phone, telephone"
telephone receiver,"phone, receiver, telephone",[128222],📞,"phone, receiver, telephone"
pager,pager,[128223],📟,"pager, beepr"
fax machine,fax,[128224],📠,fax
battery,battery,[128267],🔋,"battery, energy"
electric plug,"electric, electricity, plug",[128268],🔌,"electric, electricity, plug"
laptop computer,"computer, pc, personal",[128187],💻,"computer, pc, monitor"
desktop computer,"computer, desktop",[128421],🖥,"computer, desktop computer, pc"
printer,computer,[128424],🖨,printer
keyboard,computer,[9000],⌨,keyboard
computer mouse,computer,[128433],🖱,computer mouse
trackball,computer,[128434],🖲,trackball
computer disk,"computer, disk, minidisk, optical",[128189],💽,"computer disk, optical disk, cd, cd-rom, compact disk"
floppy disk,"computer, disk, floppy",[128190],💾,"floppy, floppy disk"
optical disk,"cd, computer, disk, optical",[128191],💿,"optical disk, cd, cd-rom"
dvd,"blu-ray, computer, disk, dvd, optical",[128192],📀,"dvd, optical disk, blu-ray"
movie camera,"camera, cinema, movie",[127909],🎥,"camera, cinema, movie"
film frames,"cinema, film, frames, movie",[127902],🎞,"cinema, film, frames, movie"
film projector,"cinema, film, movie, projector, video",[128253],📽,"cinema, film, movie, projector, video"
clapper board,"clapper, movie",[127916],🎬,"clapper, movie"
television,"tv, video",[128250],📺,"tv, video, television, tv set"
camera,video,[128247],📷,camera
camera with flash,"camera, flash, video",[128248],📸,camera
video camera,"camera, video",[128249],📹,"video camera, video"
videocassette,"tape, vhs, video",[128252],📼,"tape, vhs, video"
left-pointing magnifying glass,"glass, magnifying, search, tool",[128269],🔍,"magnifying glass, search"
right-pointing magnifying glass,"glass, magnifying, search, tool",[128270],🔎,"magnifying glass, search"
microscope,"science, tool",[128300],🔬,"microscope, science"
telescope,"science, tool",[128301],🔭,"telescope, science"
satellite antenna,"antenna, dish, satellite",[128225],📡,"antenna, dish"
candle,light,[128367],🕯,candle
light bulb,"bulb, comic, electric, idea, light",[128161],💡,"bulb, idea, light"
flashlight,"electric, light, tool, torch",[128294],🔦,"flashlight, torch, light"
red paper lantern,"bar, japanese, lantern, light, red",[127982],🏮,lantern
notebook with decorative cover,"book, cover, decorated, notebook",[128212],📔,"notebook, book"
closed book,"book, closed",[128213],📕,book
open book,"book, open",[128214],📖,book
green book,"book, green",[128215],📗,book
blue book,"blue, book",[128216],📘,book
orange book,"book, orange",[128217],📙,book
books,book,[128218],📚,"book, books"
notebook,notebook,[128211],📓,notebook
ledger,notebook,[128210],📒,"ledger, notebook"
page with curl,"curl, document, page",[128195],📃,"page, document"
scroll,paper,[128220],📜,"scroll, paper"
page facing up,"document, page",[128196],📄,"page, document"
newspaper,"news, paper",[128240],📰,"newspaper, news"
rolled-up newspaper,"news, newspaper, paper, rolled",[128478],🗞,"news, newspaper"
bookmark tabs,"bookmark, mark, marker, tabs",[128209],📑,bookmark
bookmark,mark,[128278],🔖,bookmark
label,label,[127991],🏷,label
money bag,"bag, dollar, money, moneybag",[128176],💰,"money, dollar, money bag, moneybag"
yen banknote,"bank, banknote, bill, currency, money, note, yen",[128180],💴,"yen, money, banknote"
dollar banknote,"bank, banknote, bill, currency, dollar, money, note",[128181],💵,"dollar, money, banknote"
euro banknote,"bank, banknote, bill, currency, euro, money, note",[128182],💶,"euro, money, banknote"
pound banknote,"bank, banknote, bill, currency, money, note, pound",[128183],💷,"pound, money, banknote"
money with wings,"bank, banknote, bill, dollar, fly, money, note, wings",[128184],💸,"money, dollar"
credit card,"bank, card, credit, money",[128179],💳,credit card
chart increasing with yen,"bank, chart, currency, graph, growth, market, money, rise, trend, upward, yen",[128185],💹,"chart, increasing chart, growth"
currency exchange,"bank, currency, exchange, money",[128177],💱,"currency, currency exchange, exchange"
heavy dollar sign,"currency, dollar, money",[128178],💲,"currency, dollar, money"
envelope,"email, letter",[9993],✉,"email, letter"
e-mail,"email, letter, mail",[128231],📧,"e-mail, letter, mail"
incoming envelope,"e-mail, email, envelope, incoming, letter, mail, receive",[128232],📨,"e-mail, email, envelope, incoming, letter, mail, receive"
envelope with arrow,"arrow, down, e-mail, email, envelope, letter, mail, outgoing, sent",[128233],📩,"e-mail, email, envelope, letter, mail, outgoing, sent"
outbox tray,"box, letter, mail, outbox, sent, tray",[128228],📤,"outbox, outgoing, send"
inbox tray,"box, inbox, letter, mail, receive, tray",[128229],📥,"inbox, incoming, receive"
package,"box, parcel",[128230],📦,"box, parcel, package"
closed mailbox with raised flag,"closed, mail, mailbox, postbox",[128235],📫,"mail, mailbox"
closed mailbox with lowered flag,"closed, lowered, mail, mailbox, postbox",[128234],📪,"mail, mailbox"
open mailbox with raised flag,"mail, mailbox, open, postbox",[128236],📬,"mail, mailbox"
open mailbox with lowered flag,"lowered, mail, mailbox, open, postbox",[128237],📭,"mail, mailbox"
postbox,"mail, mailbox",[128238],📮,"mail, mailbox"
ballot box with ballot,"ballot, box",[128499],🗳,"ballot, ballot box"
pencil,pencil,[9999],✏,pencil
black nib,"nib, pen",[10002],✒,"nib, pen"
fountain pen,"fountain, pen",[128395],🖋,"pen, fountain pen"
pen,ballpoint,[128394],🖊,"pen, ballpoint pen, ballpoint"
paintbrush,painting,[128396],🖌,"paintbrush, brush"
crayon,crayon,[128397],🖍,crayon
memo,pencil,[128221],📝,"memo, pencil"
briefcase,briefcase,[128188],💼,briefcase
file folder,"file, folder",[128193],📁,"file, folder, file folder"
open file folder,"file, folder, open",[128194],📂,"file, folder, file folder"
card index dividers,"card, dividers, index",[128450],🗂,index cards
calendar,date,[128197],📅,"calendar, date"
tear-off calendar,calendar,[128198],📆,"calendar, date"
spiral notepad,"note, pad, spiral",[128466],🗒,"notepad, notebook"
spiral calendar,"calendar, pad, spiral",[128467],🗓,"calendar, date"
card index,"card, index, rolodex",[128199],📇,rolodex
chart increasing,"chart, graph, growth, trend, upward",[128200],📈,"chart, graph, growth, trend, upward"
chart decreasing,"chart, down, graph, trend",[128201],📉,"chart, down, graph, trend"
bar chart,"bar, chart, graph",[128202],📊,"chart, graph"
clipboard,clipboard,[128203],📋,clipboard
pushpin,pin,[128204],📌,"pushpin, pin"
round pushpin,"pin, pushpin",[128205],📍,"pushpin, pin"
paperclip,paperclip,[128206],📎,"paperclip, clip, clips"
linked paperclips,"link, paperclip",[128391],🖇,"paperclip, clip, clips"
straight ruler,"ruler, straight edge",[128207],📏,"ruler, measure"
triangular ruler,"ruler, set, triangle",[128208],📐,"ruler, measure"
scissors,"cutting, tool",[9986],✂,"scissors, cutting"
card file box,"box, card, file",[128451],🗃,box
file cabinet,"cabinet, file, filing",[128452],🗄,"cabinet, filing"
wastebasket,wastebasket,[128465],🗑,"wastebasket, bin"
locked,closed,[128274],🔒,"lock, locked, closed, privacy, secure"
unlocked,"lock, open, unlock",[128275],🔓,"unlocked, open"
locked with pen,"ink, lock, nib, pen, privacy",[128271],🔏,"lock, locked, closed, privacy"
locked with key,"closed, key, lock, secure",[128272],🔐,"lock, locked, closed, privacy, secure"
key,"lock, password",[128273],🔑,key
old key,"clue, key, lock, old",[128477],🗝,old key
hammer,tool,[128296],🔨,hammer
pick,"mining, tool",[9935],⛏,"pick, mining, mine"
hammer and pick,"hammer, pick, tool",[9874],⚒,"hammer and pick, tools"
hammer and wrench,"hammer, spanner, tool, wrench",[128736],🛠,"hammer and wrench, tools"
dagger,"knife, weapon",[128481],🗡,"dagger, knife weapon"
crossed swords,"crossed, swords, weapon",[9876],⚔,"swords, weapon"
pistol,"gun, handgun, revolver, tool, weapon",[128299],🔫,"pistol, gun, handgun, firearm, revolver, weapon"
bow and arrow,"archer, archery, arrow, bow, sagittarius, tool, weapon, zodiac",[127993],🏹,"bow and arrow, archer, archery, bow, sagittarius, weapon"
shield,weapon,[128737],🛡,"shield, protect"
wrench,"spanner, tool, wrench",[128295],🔧,"wrench, spanner"
nut and bolt,"bolt, nut, tool",[128297],🔩,"nut, bolt"
gear,tool,[9881],⚙,gear
clamp,"compress, tool, vice",[128476],🗜,"clamp, vice"
alembic,"chemistry, tool",[9879],⚗,"alembic, chemistry"
balance scale,"balance, justice, libra, scales, tool, weight, zodiac",[9878],⚖,"scale, balance, justice, libra, weight"
link,link,[128279],🔗,link
chains,chain,[9939],⛓,"chains, chain"
syringe,"doctor, medicine, needle, shot, sick, tool",[128137],💉,"syringe, doctor, medicine, sick, vaccine"
pill,"doctor, medicine, sick",[128138],💊,"pill, doctor, medicine, sick"
cigarette,smoking,[128684],🚬,"cigarette, smoking"
coffin,death,[9904],⚰,"coffin, death"
funeral urn,"ashes, death, funeral, urn",[9905],⚱,urn
moai,"face, moyai, statue",[128511],🗿,"moai, statue, moyai"
oil drum,"drum, oil",[128738],🛢,"oil, oil drum"
crystal ball,"ball, crystal, fairy tale, fantasy, fortune, tool",[128302],🔮,"crystal ball, fortune, future"
shopping cart,"cart, shopping, trolley",[128722],🛒,"shopping cart, cart, trolley"
atm sign,"atm, automated, bank, teller",[127975],🏧,"atm, bank"
litter in bin sign,"litter, litter bin",[128686],🚮,"litter, litter bin"
potable water,"drinking, potable, water",[128688],🚰,"drinking, potable, water"
wheelchair symbol,access,[9855],♿,"access, accessible, wheelchair"
mens room,"lavatory, man, restroom, wc",[128697],🚹,"lavatory, restroom, toilet, wc"
womens room,"lavatory, restroom, wc, woman",[128698],🚺,"lavatory, restroom, toilet, wc"
restroom,"lavatory, restroom, wc",[128699],🚻,"lavatory, restroom, toilet, wc"
baby symbol,"baby, changing",[128700],🚼,"baby, baby changing"
water closet,"closet, lavatory, restroom, water, wc",[128702],🚾,"lavatory, restroom, toilet, wc"
passport control,"control, passport",[128706],🛂,passport control
customs,customs,[128707],🛃,customs
baggage claim,"baggage, claim",[128708],🛄,"baggage, baggage claim"
left luggage,"baggage, locker, luggage",[128709],🛅,luggage
warning,warning,[9888],⚠,"warning, attention"
children crossing,"child, crossing, pedestrian, traffic",[128696],🚸,"crossing, pedestrian"
no entry,"entry, forbidden, no, not, prohibited, traffic",[9940],⛔,"no entry, forbidden, prohibited"
prohibited,"entry, forbidden, no, not",[128683],🚫,"no entry, forbidden, prohibited, no, not"
no bicycles,"bicycle, bike, forbidden, no, not, prohibited",[128691],🚳,no bicycles
no smoking,"forbidden, no, not, prohibited, smoking",[128685],🚭,no smoking
no littering,"forbidden, litter, no, not, prohibited",[128687],🚯,no littering
non-potable water,"non-drinking, non-potable, water",[128689],🚱,non-potable water
no pedestrians,"forbidden, no, not, pedestrian, prohibited",[128695],🚷,no pedestrians
no mobile phones,"cell, forbidden, mobile, no, not, phone, prohibited, telephone",[128245],📵,no mobile phones
no one under eighteen,"18, age restriction, eighteen, forbidden, no, not, prohibited, underage",[128286],🔞,"underage, age restriction"
radioactive,"radioactive, sign",[9762],☢,radioactive
biohazard,"biohazard, sign",[9763],☣,biohazard
up arrow,"arrow, cardinal, direction, north",[11014],⬆,"up, arrow"
up-right arrow,"arrow, direction, intercardinal, northeast",[8599],↗,arrow
right arrow,"arrow, cardinal, direction, east",[10145],➡,"right, arrow"
down-right arrow,"arrow, direction, intercardinal, southeast",[8600],↘,arrow
down arrow,"arrow, cardinal, direction, down, south",[11015],⬇,"down, arrow"
down-left arrow,"arrow, direction, intercardinal, southwest",[8601],↙,arrow
left arrow,"arrow, cardinal, direction, west",[11013],⬅,"left, arrow"
up-left arrow,"arrow, direction, intercardinal, northwest",[8598],↖,arrow
up-down arrow,arrow,[8597],↕,"up-down, arrow"
left-right arrow,arrow,[8596],↔,arrow
right arrow curving left,arrow,[8617],↩,"arrow, left"
left arrow curving right,arrow,[8618],↪,"right, arrow"
right arrow curving up,arrow,[10548],⤴,"up, arrow"
right arrow curving down,"arrow, down",[10549],⤵,"down, arrow"
clockwise vertical arrows,"arrow, clockwise, reload",[128259],🔃,"reload, recycle, cycle"
anticlockwise arrows button,"anticlockwise, arrow, counterclockwise, withershins",[128260],🔄,"reload, recycle, cycle"
back arrow,"arrow, back",[128281],🔙,"back, arrow"
end arrow,"arrow, end",[128282],🔚,"end, arrow"
on! arrow,"arrow, mark, on",[128283],🔛,"on, arrow"
soon arrow,"arrow, soon",[128284],🔜,"soon, arrow"
top arrow,"arrow, top, up",[128285],🔝,"top, arrow"
place of worship,"religion, worship",[128720],🛐,"temple, worship, religion"
atom symbol,"atheist, atom",[9883],⚛,atom
om,"hindu, religion",[128329],🕉,"om, hindu, yoga"
star of david,"david, jew, jewish, religion, star",[10017],✡,"star of david, judaism, star, jew, jewish"
wheel of dharma,"buddhist, dharma, religion, wheel",[9784],☸,"dharma, buddhism, buddhist, wheel"
yin yang,"religion, tao, taoist, yang, yin",[9775],☯,"yin yang, tao, taoist"
latin cross,"christian, cross, religion",[10013],✝,"cross, christian"
orthodox cross,"christian, cross, religion",[9766],☦,"orthodox, cross, orthodox cross"
star and crescent,"islam, muslim, religion",[9770],☪,"star and crescent, islam, muslim"
peace symbol,peace,[9774],☮,"peace, peace symbol"
menorah,"candelabrum, candlestick, religion",[128334],🕎,"menorah, judaism"
dotted six-pointed star,"fortune, star",[128303],🔯,"fortune, star"
aries,"ram, zodiac",[9800],♈,aries
taurus,"bull, ox, zodiac",[9801],♉,taurus
gemini,"twins, zodiac",[9802],♊,gemini
cancer,"crab, zodiac",[9803],♋,cancer
leo,"lion, zodiac",[9804],♌,leo
virgo,zodiac,[9805],♍,virgo
libra,"balance, justice, scales, zodiac",[9806],♎,libra
scorpius,"scorpio, scorpion, zodiac",[9807],♏,scorpius
sagittarius,"archer, zodiac",[9808],♐,sagittarius
capricorn,"goat, zodiac",[9809],♑,capricorn
aquarius,"bearer, water, zodiac",[9810],♒,aquarius
pisces,"fish, zodiac",[9811],♓,pisces
ophiuchus,"bearer, serpent, snake, zodiac",[9934],⛎,ophiuchus
shuffle tracks button,"arrow, crossed",[128256],🔀,shuffle
repeat button,"arrow, clockwise, repeat",[128257],🔁,"repeat, reload, recycle, cycle"
repeat single button,"arrow, clockwise, once",[128258],🔂,repeat single
play button,"arrow, play, right, triangle",[9654],▶,play
fast-forward button,"arrow, double, fast, forward",[9193],⏩,"fast-forward, forward"
next track button,"arrow, next scene, next track, triangle",[9197],⏭,next
play or pause button,"arrow, pause, play, right, triangle",[9199],⏯,"play, pause"
reverse button,"arrow, left, reverse, triangle",[9664],◀,reverse
fast reverse button,"arrow, double, rewind",[9194],⏪,"fast reverse, reverse"
last track button,"arrow, previous scene, previous track, triangle",[9198],⏮,last track
up button,"arrow, button, red",[128316],🔼,"up, arrow"
fast up button,"arrow, double",[9195],⏫,"up, arrow"
down button,"arrow, button, down, red",[128317],🔽,"down, arrow"
fast down button,"arrow, double, down",[9196],⏬,"down, arrow"
pause button,"bar, double, pause, vertical",[9208],⏸,pause
stop button,"square, stop",[9209],⏹,stop
record button,"circle, record",[9210],⏺,record
eject button,eject,[9167],⏏,eject
cinema,"camera, film, movie",[127910],🎦,"cinema, camera, film, movie"
dim button,"brightness, dim, low",[128261],🔅,"brightness, dim"
bright button,"bright, brightness",[128262],🔆,"brightness, bright"
antenna bars,"antenna, bar, cell, mobile, phone, signal, telephone",[128246],📶,"antenna bars, signal, cell"
vibration mode,"cell, mobile, mode, phone, telephone, vibration",[128243],📳,vibration
mobile phone off,"cell, mobile, off, phone, telephone",[128244],📴,off
recycling symbol,recycle,[9851],♻,recycle
name badge,"badge, name",[128219],📛,name
fleur-de-lis,fleur-de-lis,[9884],⚜,fleur-de-lis
japanese symbol for beginner,"beginner, chevron, green, japanese, leaf, tool, yellow",[128304],🔰,chebron
trident emblem,"anchor, emblem, ship, tool, trident",[128305],🔱,"trident, pitchfork"
heavy large circle,"circle, o",[11093],⭕,"circle, hoop"
white heavy check mark,"check, mark",[9989],✅,"yes, correct, accepted, checkmark"
ballot box with check,"ballot, box, check",[9745],☑,"yes, correct, accepted, checkmark"
heavy check mark,"check, mark",[10004],✔,"yes, correct, accepted, checkmark"
heavy multiplication x,"cancel, multiplication, multiply, x",[10006],✖,"no, cancel, incorrect, mistake"
cross mark,"cancel, mark, multiplication, multiply, x",[10060],❌,"no, cancel, incorrect, mistake"
cross mark button,"mark, square",[10062],❎,"no, cancel, incorrect, mistake"
heavy plus sign,"math, plus",[10133],➕,"plus, cross"
female sign,woman,[9792],♀,"woman, female, femme"
male sign,man,[9794],♂,"man, male"
medical symbol,"aesculapius, medicine, staff",[9877],⚕,medicine
heavy minus sign,"math, minus",[10134],➖,minus
heavy division sign,"division, math",[10135],➗,"division, divide"
curly loop,"curl, loop",[10160],➰,loop
double curly loop,"curl, double, loop",[10175],➿,"loop, double loop"
part alternation mark,"mark, part",[12349],〽,mark
eight-spoked asterisk,asterisk,[10035],✳,asterisk
eight-pointed star,star,[10036],✴,asterisk
sparkle,sparkle,[10055],❇,asterisk
double exclamation mark,"bangbang, exclamation, mark, punctuation",[8252],‼,"exclamation, punctuation, bang"
exclamation question mark,"exclamation, interrobang, mark, punctuation, question",[8265],⁉,"exclamation, interrobang, mark, punctuation, question"
question mark,"mark, punctuation, question",[10067],❓,question
white question mark,"mark, outlined, punctuation, question",[10068],❔,question
white exclamation mark,"exclamation, mark, outlined, punctuation",[10069],❕,"exclamation, bang"
exclamation mark,"exclamation, mark, punctuation",[10071],❗,"exclamation, bang"
wavy dash,"dash, punctuation, wavy",[12336],〰,"wavy dash, wavy"
copyright,copyright,[169],©,copyright
registered,registered,[174],®,registered
trade mark,"mark, tm, trademark",[8482],™,"tm, trademark, trade mark"
keycap: #,keycap,"[35, 65039, 8419]",,"#, hash, hashtag, pound"
keycap: *,keycap,"[42, 65039, 8419]",,"*, asterisk"
keycap: 0,keycap,"[48, 65039, 8419]",,"0, zero, nothing, nada"
keycap: 1,keycap,"[49, 65039, 8419]",,"1, one"
keycap: 2,keycap,"[50, 65039, 8419]",,"2, two"
keycap: 3,keycap,"[51, 65039, 8419]",,"3, three"
keycap: 4,keycap,"[52, 65039, 8419]",,"4, four"
keycap: 5,keycap,"[53, 65039, 8419]",,"5, five"
keycap: 6,keycap,"[54, 65039, 8419]",,"6, six"
keycap: 7,keycap,"[55, 65039, 8419]",,"7, seven"
keycap: 8,keycap,"[56, 65039, 8419]",,"8, eight"
keycap: 9,keycap,"[57, 65039, 8419]",,"9, nine"
keycap 10,keycap 10,[128287],🔟,"10, ten"
hundred points,"100, full, hundred, score",[128175],💯,"100, hundred"
input latin uppercase,"abcd, input, latin, letters, uppercase",[128288],🔠,"letters, uppercase, abcd"
input latin lowercase,"abcd, input, latin, letters, lowercase",[128289],🔡,"letters, lowercase, abcd"
input numbers,"1234, input, numbers",[128290],🔢,"1234, numbers"
input symbols,"&%, input",[128291],🔣,"&%, symbols"
input latin letters,"abc, alphabet, input, latin, letters",[128292],🔤,"abc, letter, lowercase"
a button (blood type),"a, blood type",[127344],🅰,"a, blood type, type a"
ab button (blood type),"ab, blood type",[127374],🆎,"ab, blood type, type ab"
b button (blood type),"b, blood type",[127345],🅱,"b, blood type, type b"
cl button,cl,[127377],🆑,clear
cool button,cool,[127378],🆒,cool
free button,free,[127379],🆓,free
information,"i, information",[8505],ℹ,"info, information"
id button,"id, identity",[127380],🆔,"id, identity"
circled m,"circle, m",[9410],Ⓜ,m
new button,new,[127381],🆕,new
ng button,ng,[127382],🆖,no good
o button (blood type),"blood type, o",[127358],🅾,"o, blood type, type o"
ok button,ok,[127383],🆗,ok
p button,parking,[127359],🅿,parking
sos button,"help, sos",[127384],🆘,"sos, help"
up! button,"mark, up",[127385],🆙,up
vs button,"versus, vs",[127386],🆚,"vs, versus"
japanese here button,"here, japanese, katakana, ",[127489],🈁,"japanese, katakana"
japanese service charge button,"service charge, japanese, katakana, ",[127490],🈂,"japanese, katakana"
japanese monthly amount button,"monthly amount, ideograph, japanese, ",[127543],🈷,japanese
japanese not free of charge button,"not free of charge, ideograph, japanese, ",[127542],🈶,japanese
japanese reserved button,"reserved, ideograph, japanese, ",[127535],🈯,"japanese, reserved"
japanese bargain button,"bargain, ideograph, japanese, ",[127568],🉐,"japanese, bargain"
japanese discount button,"discount, ideograph, japanese, ",[127545],🈹,japanese
japanese free of charge button,"free of charge, ideograph, japanese, ",[127514],🈚,japanese
japanese prohibited button,"prohibited, ideograph, japanese, ",[127538],🈲,japanese
japanese acceptable button,"acceptable, ideograph, japanese, ",[127569],🉑,japanese
japanese application button,"application, ideograph, japanese, ",[127544],🈸,japanese
japanese passing grade button,"passing grade, ideograph, japanese, ",[127540],🈴,japanese
japanese vacancy button,"vacancy, ideograph, japanese, ",[127539],🈳,japanese
japanese congratulations button,"congratulations, ideograph, japanese, ",[12951],㊗,japanese
japanese secret button,"secret, ideograph, japanese, ",[12953],㊙,japanese
japanese open for business button,"open for business, ideograph, japanese, ",[127546],🈺,japanese
japanese no vacancy button,"no vacancy, ideograph, japanese, ",[127541],🈵,japanese
black small square,"geometric, square",[9642],▪,square
white small square,"geometric, square",[9643],▫,square
white medium square,"geometric, square",[9723],◻,square
black medium square,"geometric, square",[9724],◼,square
white medium-small square,"geometric, square",[9725],◽,square
black medium-small square,"geometric, square",[9726],◾,square
black large square,"geometric, square",[11035],⬛,square
white large square,"geometric, square",[11036],⬜,square
large orange diamond,"diamond, geometric, orange",[128310],🔶,"diamond, rhomboid"
large blue diamond,"blue, diamond, geometric",[128311],🔷,"diamond, rhomboid"
small orange diamond,"diamond, geometric, orange",[128312],🔸,"diamond, rhomboid"
small blue diamond,"blue, diamond, geometric",[128313],🔹,"diamond, rhomboid"
red triangle pointed up,"geometric, red",[128314],🔺,"triangle, up"
red triangle pointed down,"down, geometric, red",[128315],🔻,"triangle, down"
diamond with a dot,"comic, diamond, geometric, inside",[128160],💠,"diamond, rhomboid"
radio button,"button, geometric, radio",[128280],🔘,circle
black square button,"button, geometric, square",[128306],🔲,square
white square button,"button, geometric, outlined, square",[128307],🔳,square
white circle,"circle, geometric",[9898],⚪,"circle, white"
black circle,"circle, geometric",[9899],⚫,"circle, black"
red circle,"circle, geometric, red",[128308],🔴,"circle, red"
